date,home_team,away_team,home_score,away_score,competition,stadium,city,country,neutral,world_cup
1950-03-18,Scotland,England,13,11,1950 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1950-03-25,Wales,France,21,0,1950 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1951-01-13,France,Scotland,14,12,1951 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False
1951-01-20,Wales,England,23,5,1951 Five Nations Championship,St Helen's,Swansea,Wales,False,False
1951-01-27,Ireland,France,9,8,1951 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1951-02-03,Scotland,Wales,19,0,1951 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1951-02-10,Ireland,England,3,0,1951 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1951-02-24,England,France,3,11,1951 Five Nations Championship,Twickenham,London,England,False,False
1951-02-24,Scotland,Ireland,5,6,1951 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1951-03-10,Wales,Ireland,3,3,1951 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1951-03-17,England,Scotland,5,3,1951 Five Nations Championship,Twickenham Stadium,London,England,False,False
1951-04-07,France,Wales,8,3,1951 Five Nations Championship,Stade Colombes,Paris,France,False,False
1951-06-23,Australia,New Zealand,0,8,1951 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False
1951-07-07,Australia,New Zealand,11,17,1951 New Zealand tour of Australia,Sydney Cricket Ground,Sydney,Australia,False,False
1951-07-21,Australia,New Zealand,6,16,1951 New Zealand tour of Australia,Brisbane Cricket Ground,Brisbane,Australia,False,False
1951-11-24,Scotland,South Africa,0,44,1951–52 South Africa rugby union tour of Europe,Murrayfield,Edinburgh,Scotland,False,False
1951-12-08,Ireland,South Africa,5,17,1951–52 South Africa rugby union tour of Europe,Lansdowne Road,Dublin,Ireland,False,False
1951-12-22,Wales,South Africa,3,6,1951–52 South Africa tour of Europe,Cardiff Arms Park,Cardiff,Wales,False,False
1952-01-05,England,South Africa,3,8,1951-52 South Africa rugby union tour of Europe,Twickenham,London,England,False,False
1952-01-12,Scotland,France,11,13,1952 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
1952-01-26,France,Ireland,8,11,1952 Five Nations Championship,Colombes,Paris,France,False,False
1952-02-02,Ireland,Scotland,12,8,1952 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1952-02-02,Wales,Scotland,11,0,1952 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1952-02-02,England,Wales,6,8,1952 Five Nations Championship,Twickenham,London,England,False,False
1952-02-16,France,South Africa,3,25,1951–52 South Africa rugby union tour of Europe,Yves-du-Manoir,Colombes,France,False,False
1952-03-08,Ireland,Wales,3,14,1952 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1952-03-15,Scotland,England,3,19,1952 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1952-03-22,Wales,France,9,5,1952 Five Nations Championship,St Helen's,Swansea,Wales,False,False
1952-03-29,England,Ireland,3,0,1952 Five Nations Championship,Twickenham,London,England,False,False
1952-04-05,France,England,3,6,1952 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False
1952-05-17,Italy,France,8,17,1952 Rugby Union European Cup,Arena Civica,Milan,Italy,False,False
1952-09-06,New Zealand,Australia,9,14,1952 Australia tour of New Zealand,Lancaster Park,Christchurch,New Zealand,False,False
1952-09-13,New Zealand,Australia,15,8,1952 Australia tour of New Zealand,Athletic Park,Wellington,New Zealand,False,False
1953-01-10,France,Scotland,11,5,1953 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False
1953-01-17,Wales,England,3,8,1953 Five Nations Championship,Cardiff Arms Park,Cardiff,Wales,False,False
1953-01-24,Ireland,France,16,3,1953 Five Nations Championship,Ravenhill Stadium,Belfast,Ireland,False,False
1953-02-07,Scotland,Wales,0,12,1953 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1953-02-11,Ireland,England,9,9,1953 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1953-02-28,Scotland,Ireland,8,26,1953 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1953-02-28,England,France,11,0,1953 Five Nations Championship,Twickenham,London,England,False,False
1953-03-14,Wales,Ireland,5,3,1953 Five Nations Championship,St Helen's,Swansea,Wales,False,False
1953-03-21,England,Scotland,26,8,1953 Five Nations Championship,Twickenham Stadium,London,England,False,False
1953-03-28,France,Wales,3,6,1953 Five Nations Championship,Stade Colombes,Paris,France,False,False
1953-04-26,France,Italy,22,8,Test Match,Stade de Gerland,Lyon,France,False,False
1953-08-22,South Africa,Australia,25,3,1953 Australia tour of South Africa,Ellis Park Stadium,Johannesburg,South Africa,False,False
1953-09-05,South Africa,Australia,14,18,1953 Australia tour of South Africa,Newlands Stadium,Cape Town,South Africa,False,False
1953-09-19,South Africa,Australia,18,8,1953 Australia tour of South Africa,Kingsmead,Durban,South Africa,False,False
1953-09-26,South Africa,Australia,22,9,1953 Australia tour of South Africa,St George's Park,Port Elizabeth,South Africa,False,False
1953-12-19,Wales,New Zealand,13,8,1953–54 New Zealand tour of Europe and North America,National Stadium,Cardiff,Wales,False,False
1954-01-09,Ireland,New Zealand,3,14,"1953–54 New Zealand rugby union tour of Britain, Ireland, France and North America",Lansdowne Road,Dublin,Ireland,False,False
1954-01-09,Scotland,France,0,3,1954 Five Nations Championship,Murrayfield,Edinburgh,Scotland,False,False
1954-01-16,England,Wales,9,6,1954 Five Nations Championship,Twickenham,London,England,False,False
1954-01-23,France,Ireland,8,0,1954 Five Nations Championship,Colombes,Paris,France,False,False
1954-01-30,England,New Zealand,0,5,"1953–54 New Zealand rugby union tour of Britain, Ireland, France and North America",Twickenham,London,England,False,False
1954-02-13,England,Ireland,14,3,1954 Five Nations Championship,Twickenham,London,England,False,False
1954-02-13,Scotland,New Zealand,0,3,1953-54 New Zealand tour,Murrayfield,Edinburgh,Scotland,False,False
1954-02-27,Ireland,Scotland,6,0,1954 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1954-02-27,France,New Zealand,3,0,1953–54 New Zealand tour,Yves-du-Manoir,Colombes,France,False,False
1954-03-13,Ireland,Wales,9,12,1954 Five Nations Championship,Lansdowne Road,Dublin,Ireland,False,False
1954-03-20,Scotland,England,3,13,1954 Five Nations Championship,Murrayfield Stadium,Edinburgh,Scotland,False,False
1954-03-27,Wales,France,19,13,1954 Five Nations Championship,National Stadium,Cardiff,Wales,False,False
1954-04-10,France,England,11,3,1954 Five Nations Championship,Stade Yves-du-Manoir,Colombes,France,False,False
1954-04-10,Wales,Scotland,15,3,1954 Five Nations Championship,St Helen's,Swansea,Wales,False,False
1954-04-24,Italy,France,12,39,1954 Rugby Union European Cup,Stadio Olimpico,Rome,Italy,False,False
1954-08-29,Argentina,France,8,22,1954 France tour of Argentina and Chile,Ferro Carrill Oeste,Buenos Aires,Argentina,False,False
1954-09-12,Argentina,France,3,30,1954 France tour of Argentina and Chile,Ferro Carrill Oeste,Buenos Aires,Argentina,False,False
